test_store,control_store,abs_perc_diff
1310,1087,0.00263262
2570,3672,0.00530081
2518,2650,0.00652907
3266,3716,0.0067751
2686,2756,0.0068303
3173,2501,0.00746333
1208,3216,0.00789741
7220,5676,0.00838116
1275,1442,0.00839017
4335,1150,0.00892117
1338,1106,0.00936057
4782,4231,0.00980352
1434,3392,0.0100619
2541,3203,0.0103423
3184,1479,0.0111774
2510,4388,0.0117726
1137,2583,0.0122085
4394,5098,0.0128472
3151,7011,0.0129631
2340,1624,0.0136181
3361,1206,0.014642
5547,1766,0.0146973
1198,4318,0.0156863
4328,3150,0.0157205
1416,4995,0.015781
7202,4384,0.0159996
2643,1129,0.0170732
4395,1207,0.0176127
3285,4363,0.0179003
3325,1389,0.0180696
1189,3105,0.0180771
5616,3117,0.018358
2900,3301,0.0186129
5677,3940,0.0188074
1641,2548,0.0188241
3118,3185,0.0191178
2662,1573,0.0196212
2617,3229,0.0204603
3121,2760,0.0208849
1308,5702,0.0210296
5318,3272,0.021046
3174,2759,0.0212544
3061,2304,0.0215442
2557,1685,0.0215775
1249,1133,0.0215783
3275,2509,0.0216562
1561,3227,0.0223649
3283,4603,0.0224791
5945,2515,0.0229107
2588,2173,0.0232888
4373,4339,0.0233284
2577,5687,0.0237246
5653,3055,0.023762
7216,3494,0.0238005
3147,3138,0.0243308
3130,2608,0.0243754
1293,3074,0.0246297
1648,5621,0.0251176
3318,5668,0.0256283
4360,5664,0.0257917
5654,5301,0.0264104
1331,4365,0.0265856
1168,2135,0.0266106
2690,1107,0.0271814
3352,1236,0.0277368
3189,2174,0.0278504
4352,1415,0.0280661
1171,1409,0.0283151
1108,3155,0.0290315
1092,2596,0.0292209
1100,2514,0.0293976
5311,2078,0.0294479
3804,3271,0.0302565
4361,1144,0.0306522
3142,3996,0.0309831
1272,3164,0.0309867
7005,3119,0.0311426
3143,3290,0.0312296
2506,3321,0.0315601
1224,2630,0.0316701
3805,4326,0.0326436
2638,4376,0.0326859
4317,2692,0.0330189
2593,3250,0.0331772
1199,1216,0.0334703
1167,1253,0.033478
3002,3088,0.0338398
2556,2667,0.0341385
2003,2644,0.0343114
2505,1327,0.0343191
1997,1061,0.0345782
3167,2697,0.0352486
3196,3273,0.0359084
2668,2843,0.0363072
2137,3214,0.0364118
4366,2782,0.03659
5603,3603,0.036666
1069,1472,0.0369055
2661,1136,0.0386452
1268,1178,0.03998
1244,5608,0.0403464
3108,2766,0.0415772
3193,4323,0.0425811
2516,3809,0.0442906
4398,3369,0.0448428
1280,3395,0.045397
1603,1052,0.0465356
1121,3299,0.0468424
1147,2645,0.0471522
4320,7223,0.0477927
2552,5618,0.0487515
5003,1101,0.049161
1287,3191,0.0492235
4370,4364,0.0494811
2567,1195,0.0495073
3964,1004,0.049819
1080,4418,0.0499352
4630,1864,0.0515669
3146,1226,0.0526464
1941,4381,0.0527436
1152,1288,0.0530453
4313,2744,0.0550424
3060,3308,0.055866
1221,2709,0.0563408
1294,2687,0.0572676
5798,2524,0.0584371
1105,2673,0.0591879
2159,4327,0.0596529
4375,4386,0.0597325
4374,4314,0.0617945
3034,5317,0.063133
1002,1191,0.0637695
2680,1172,0.0653753
3135,2657,0.0659304
7215,3337,0.0666238
2770,3062,0.0722066
5642,3129,0.0727933
2742,4390,0.0746582
1204,1632,0.0783152
2665,1111,0.0790397
3100,1392,0.0821718
5673,3343,0.0834836
5604,2562,0.0850241
4343,1161,0.0875333
2612,2664,0.0910206
4813,3331,0.094866
1336,3149,0.0997156
2655,3244,0.104356
2620,1307,0.112972
1173,3137,0.114696
5639,1402,0.118737
2651,4431,0.133491
2554,1231,0.143982
3219,5610,0.152544
2624,3923,0.154011
2507,3287,0.214635
3268,3134,0.265861
3165,1203,0.272463
3148,2502,0.282747
1179,2674,0.457098
